time,open,high,low,close
1223904600,93.87,101.35001,89.94791,101.35001
1223991000,104.7,105.53,97.11,99.85001
1224077400,97.46001,97.8,89.71001,90.02
1224163800,91.28999,94.77,86.53999,93.77
1224250200,91.99001,98.59,91.64999,93.21001
1224509400,95.35001,99.10001,94.08949,98.81
1224595800,96.97,98.64,95.22,95.86
1224682200,93.2,95.86,87.53,90.64
1224768600,90.28999,92.45,85.81,91.69
1224855000,84.06,89.92,84,87.03999
1225114200,85.97,89.50999,83.7,83.95
1225200600,87.34,94.24001,84.53,93.75999
1225287000,93.77,97.17,92.10001,93.08
1225373400,95.78,96.53999,92.89999,96.3
1225459800,95.08,98.57001,94.48,96.83
1225722600,96.78,97.69,95.95,97.11
1225809000,99.06,100.86,96.7142,100.41
1225895400,99.2,100.7114,95,96.19
1225981800,94.46001,95.44,90.06,90.86
1226068200,91.64999,94,90.5,93.86
1226327400,95.21001,95.53,90.92,92.63
1226413800,90.75999,92.1377,88.64999,89.77
1226500200,88.23,90.1516,85.12,85.82001
1226586600,86.13,91.73,82.09,91.17
1226673000,89.41,92.06,86.52,86.62
1226932200,86.38,88.56,85.16,85.47
1227018600,85.14999,87.22,82.91,87.08
1227105000,85.91,86.87,80.92,81.5
1227191400,80.13,82.50999,75.05,75.45
1227277800,77.46001,80.89999,74.34,79.52
1227537000,81.92,86.985,80.3614,85.03
1227623400,87.3,87.50999,83.82001,85.66
1227709800,84.3,89.19,84.24001,88.97
1227882600,88.63,90.13,88.48,90.09
1228141800,87.50999,87.55,81.86,82.11
1228228200,83.47,85.49001,82.03799,85.27
1228314600,83.39999,87.83,83.14,87.32001
1228401000,86.06,88.05,83.74001,85.3
1228487400,83.64999,88.42,82.24001,87.92999
1228746600,90.34,92.38,88.0815,91
1228833000,90.37,92.13,88.98,89.5
1228919400,90.32001,91.36,89,90.11
1229005800,89.53999,91,87.37,87.94
1229092200,85.55,89.07001,85.2,88.99001
1229351400,89.02,89.14999,86.28999,87.75
1229437800,88.3,92.02,88.17999,91.88
1229524200,90.84,92.42999,90.06,90.99001
1229610600,91.39999,91.67,88.21001,89.28999
1229697000,89.10001,90.62,88.09,88.19
1229956200,88.58,88.67,85.49001,87.06
1230042600,87.53,87.92999,85.8,86.16
1230129000,86.45,86.87,86,86.66
1230301800,87.24001,87.3,86.5,87.16
1230561000,87.24001,87.33,85.60001,86.91
1230647400,87.50999,89.05,86.8766,88.97
1230733800,89.08,90.97,88.87,90.24001
1230906600,90.44,93.44,89.85001,92.96001
1231165800,92.63,94.5533,91.89,92.85001
1231252200,93.64,94.45,92.67999,93.47
1231338600,92,92.25999,90.2,90.67
1231425000,90.16,91.09,89.67,91.04201
1231511400,91.16,91.32001,85.36,89.09
1231770600,88.84,88.91,86.41,86.95
1231857000,86.73,87.88,86.2,87.11
1231943400,85.53999,85.75,83.16,84.37
1232029800,84.12,85.25,81.72,84.39999
1232116200,85.86,85.98759,83.05,85.06
1232461800,84.23,85.05901,80.05,80.57001
1232548200,81.94,84.24001,80.47,84.05
1232634600,82.42,84.03999,81.17,82.75
1232721000,80.89999,83.99001,80.57001,83.11
1232980200,83.59,85.36,82.81,83.67999
1233066600,84.13,85.14999,83.3,84.53
1233153000,86.39999,87.95,86.07001,87.39
1233239400,86.11,87.4901,84.47,84.55
1233325800,84.98,85.39999,82.21001,82.83
1233585000,81.57001,83.17999,81.31,82.58
1233671400,83.10001,84.36,82.22,83.74001
1233757800,84.3,85.37,83.03999,83.33
1233844200,82.7,85.28999,77.73,84.57001
1233930600,84.86,87.34,84.67999,86.979
1234189800,86.96001,87.74001,86.32001,87.10001
1234276200,86.27,87.03,82.45,83.11
1234362600,83.45,84.05,82.39999,83.60001
1234449000,82.17,83.82001,81.05,83.66
1234535400,83.55,84.24001,82.74001,82.75999
1234881000,80.16,82.95799,79.17,79.22
1234967400,79.78999,79.94,78.28,79.03
1235053800,79.84,80.14999,78.02,78.181
1235140200,76.73,78.34,75.77,77.42
1235399400,78.27,78.27,74.59,74.64999
1235485800,75.28999,77.95,74.7003,77.48
1235572200,77.14,78.42,75.63,76.87199
1235658600,77.82001,79.6667,75.53,75.62
1235745000,74.00999,75.68719,73.81,73.92999
1236004200,72.52,73.9169,70.37,70.60001
1236090600,71.61,71.7,69.64,70.07001
1236177000,71.23,72.87,70.07291,71.73
1236263400,70.10001,71.73,68.17,68.8
1236349800,69.39999,70.45,67.10001,68.92
1236605400,67.95,70,67.73,68.11
1236691800,69.50999,72.37,69.37,72.17
1236778200,73,73.75,71.83,72.64
1236864600,72.62,75.75,71.97,75.5
1236951000,76.00999,76.98,74.73,76.09
1237210200,76.96001,77.97,75.81,75.86
1237296600,76.07001,78.36,75.45,78.17999
1237383000,77.81,80.89999,77.07001,79.92999
1237469400,80.92999,81,78.69,78.94
1237555800,78.75999,78.91,76.53,76.71001
1237815000,78.74001,82.28999,78.31,82.22
1237901400,81.24001,82.36,80.50999,80.60001
1237987800,81.23,82.7,79.06,81.45
1238074200,82.25,83.3,81.32001,83.11
1238160600,82.05,82.53,81.31,81.61
1238419800,79.8,79.87,77.96001,78.78999
1238506200,79.56,81.08,79.05,79.52
1238592600,78.53,81.42,78.33,81.06
1238679000,83.08,84.61,81.12959,83.42999
1238765400,83.49001,84.28,82.67,84.25999
1239024600,83.34,84.2747,82.28999,83.60001
1239111000,82.25,82.64999,81.50999,81.64999
1239197400,82.06,82.94,81.53999,82.53
1239283800,84.67,85.82001,84.33,85.81
1239629400,84.92,86.53999,84.58,85.83
1239715800,85.03,85.75999,84.08,84.35001
1239802200,83.84,85.42,83.61,85.25
1239888600,85.92999,87.14999,84.77,86.5
1239975000,86.83,87.64999,86.14,87.08
1240234200,85.53999,87.0489,83.34,83.42999
1240320600,82.82001,85.13,82.75,85.06
1240407000,84.28999,86.34,84.07001,84.53999
1240493400,84.71001,85.42,83.63,85.37
1240579800,86.03,87.31,85.69,86.66
1240839000,85.67999,87.00999,85.53999,85.84
1240925400,84.97,86.59,84.75999,85.57001
1241011800,86.52,88.36,86.3,87.39
1241098200,88.55,89.02,86.92,87.42
1241184600,87.44,88.21001,86.72,87.89
1241443800,88.55,90.94,88.38,90.88
1241530200,90.57001,90.92999,89.84,90.57001
1241616600,91.67999,92.2,90.61,92.14101
1241703000,93.00999,93.14999,90.28,90.86
1241789400,92.03,93.22,90.911,92.98
1242048600,91.7,92.11,91.03999,91.24001
1242135000,91.63,91.83,89.85001,90.97
1242221400,89.74001,90.00999,88.5,88.67999
1242307800,88.72,90.12,88.5,89.44
1242394200,89.37,90,88.14999,88.71001
1242653400,89.55,91.34,88.57021,91.23
1242739800,91.17999,91.97,90.81,91.12
1242826200,91.95,92.8,90.41,90.50999
1242912600,89.46001,89.8,88.25999,89.21001
1242999000,89.46001,90,88.67999,89.02
1243344600,88.36,91.56,88.32001,91.3
1243431000,91.44,91.75,89.53,89.67
1243517400,90.46001,91.34,89.10001,90.92
1243603800,91.42,93.7,90.67999,92.53
1243863000,93.67,95.17,93.42999,94.77
1243949400,94.39999,95.37,87.53,94.85001
1244035800,94.03999,94.13,92.75999,93.64999
1244122200,94,94.67,93.3,94.53
1244208600,95.49001,95.67,93.8,94.55
1244467800,93.84,95.10001,93.03999,94.16
1244554200,94.69,95.145,94.02,94.64
1244640600,95.48,95.49001,93.19,94.39999
1244727000,94.58,96.11,94.56,94.82001
1244813400,94.39999,95.14,94,95.08
1245072600,93.96001,94.02,92.39999,92.89999
1245159000,93.23,93.28999,91.58,91.64
1245245400,91.60001,92.33,90.83,91.55
1245331800,91.69,92.67,91.25,92.21899
1245418200,92.58,92.7,91.52,92.03999
1245677400,91.14,91.19,89.25,89.28
1245763800,89.47,89.88,88.85001,89.35001
1245850200,90.16,91.08,89.60001,90.118
1245936600,89.67,92.17,89.57001,92.08
1246023000,91.77,92.24001,91.27,91.84
1246282200,92.11,92.82001,91.60001,92.7
1246368600,92.72,93.06,91.27,91.95
1246455000,92.34,93.23,92.21001,92.33
1246541400,91.13,92.3624,89.75999,89.81
1246887000,88.94,89.92999,88.66,89.8
1246973400,89.71001,89.82001,88,88.06
1247059800,88.59,88.8,87,88
1247146200,88.61,88.89999,87.91,88.17
1247232600,87.7,88.49001,87.35001,87.96001
1247491800,88.31,90.17,87.59,90.10201
1247578200,90.38,90.69,89.73,90.61
1247664600,91.81,93.50999,90.6795,93.25999
1247751000,93,94.50999,92.82001,94.14999
1247837400,94.06,94.32001,93.53999,94.13
1248096600,94.67999,95.28999,94.19,95.131
1248183000,95.87,95.89999,94.42,95.57001
1248269400,94.96001,96.13,94.89,95.55
1248355800,95.61,98.08,95.53,97.661
1248442200,97.2,98.14,96.69,98.06
1248701400,97.88,98.39999,97.34,98.35001
1248787800,97.66,98.37,97.06,97.89
1248874200,97.44,98.088,96.98,97.65199
1248960600,98.83,99.83,98.60001,98.67
1249047000,98.64999,99.47,98.38,98.81
1249306200,99.85001,100.53,99.31,100.44
1249392600,99.99001,100.84,99.78,100.7
1249479000,100.77,100.855,99.58,100.41
1249565400,100.87,101.02,99.42,99.89
1249651800,100.94,102.03,100.39,101.202
1249911000,100.74001,101.22,100.27,100.99001
1249997400,100.53999,100.61,99.46001,99.73
