time,open,high,low,close,Volume
1624298400,132.25,132.29,132.08,132.15,82017
1624299300,132.17,132.26,132.1,132.2,71798
1624300200,132.2,132.2,132,132.1,62987
1624301100,132.09,132.09,131.97,131.99,133678
1624302000,131.99,132.12,131.97,131.99,114797
1624302900,131.99,132.08,131.96,132.08,148492
1624303800,132.08,132.08,131.95,131.99,182686
1624304700,131.995,132.29,131.94,132.29,564160
1624305600,132.28,132.3,132.28,132.3,696
1624308300,132.23,132.23,132.23,132.23,800
1624310100,132.3,132.3,132.3,132.3,207
1624359600,132.1,132.24,132.1,132.24,500
1624364100,132.44,132.49,132.44,132.49,3082
1624365900,132.18,132.18,132.18,132.18,100
1624366800,132.2,132.2,132.2,132.2,405
1624367700,132.06,132.06,132.06,132.06,100
1624368600,132.12,132.82,131.82,131.88,405982
1624369500,131.89,132.15,131.77,131.87,189443
1624370400,131.9,132.22,131.63,131.92,178579
1624371300,131.92,132.21,131.78,132.11,112392
1624372200,132.11,132.43,132.06,132.21,120671
1624373100,132.19,132.42,132.13,132.26,82311
1624374000,132.28,132.58,132.25,132.525,89634
1624374900,132.53,132.75,132.47,132.61,86657
1624375800,132.61,132.61,132.41,132.43,82065
1624376700,132.43,132.58,132.43,132.44,51777
1624377600,132.46,132.76,132.4,132.76,65438
1624378500,132.76,132.91,132.64,132.91,90154
1624379400,132.91,132.94,132.81,132.87,82698
1624380300,132.87,133.37,132.87,133.17,213047
1624381200,133.16,133.35,133.045,133.27,64022
1624382100,133.25,133.41,133.14,133.32,68247
1624383000,133.33,133.39,133.28,133.29,34926
1624383900,133.31,133.31,133.13,133.2,38942
1624384800,133.2,133.37,133.09,133.35,60715
1624385700,133.36,133.46,133.28,133.33,67251
1624386600,133.32,133.55,133.27,133.41,76317
1624387500,133.4,133.57,133.34,133.56,93180
1624388400,133.56,133.82,133.56,133.79,211100
1624389300,133.79,133.99,133.76,133.94,245976
1624390200,133.93,133.99,133.67,133.67,207467
1624391100,133.67,134.08,133.66,133.97,655781
1624392000,133.94,134.04,133.94,134.04,200
1624393800,133.99,133.99,133.99,133.99,100
1624395600,134,134,133.96,133.96,200
1624396500,133.95,133.95,133.95,133.95,100
1624446000,134.2,134.2,134.2,134.2,100
1624446900,133.96,133.96,133.96,133.96,100
1624447800,133.91,133.91,133.91,133.91,100
1624451400,134,134,134,134,740
1624452300,134.05,134.05,134.02,134.02,300
1624453200,134.1,134.1,134.03,134.08,600
1624454100,134,134,133.8,133.86,614
1624455000,133.78,134.04,133.51,134,333168
1624455900,134,134.31,133.71,134.08,201967
1624456800,134.09,134.17,133.89,133.96,113324
1624457700,133.97,134.26,133.92,133.97,125778
1624458600,133.95,133.96,133.72,133.81,76115
1624459500,133.8,133.88,133.66,133.76,66249
1624460400,133.8,133.8,133.235,133.48,171364
1624461300,133.465,133.61,133.43,133.45,54740
1624462200,133.47,133.66,133.37,133.66,54704
1624463100,133.67,133.78,133.67,133.73,89298
1624464000,133.74,133.82,133.63,133.64,65094
1624464900,133.63,133.77,133.62,133.69,45092
1624465800,133.68,133.68,133.27,133.54,77743
1624466700,133.54,133.76,133.5,133.72,71212
1624467600,133.73,134.01,133.67,134.01,95826
1624468500,134.01,134.25,133.97,134.08,89963
1624469400,134.07,134.08,133.8,133.8,48014
1624470300,133.8,133.97,133.78,133.95,34342
1624471200,133.94,133.94,133.78,133.78,64044
1624472100,133.76,133.77,133.62,133.68,62577
1624473000,133.67,133.83,133.62,133.74,49972
1624473900,133.74,133.94,133.74,133.93,43340
1624474800,133.93,133.97,133.815,133.94,54808
1624475700,133.925,133.98,133.805,133.98,81999
1624476600,133.97,133.97,133.68,133.72,108197
1624477500,133.71,133.74,133.52,133.69,302060
1624478400,133.66,133.66,133.66,133.66,100
1624480200,133.54,133.56,133.54,133.56,200
1624482900,133.7,133.7,133.7,133.7,106
1624533300,134.19,134.19,134.19,134.19,100
1624535100,134.33,134.33,134.33,134.33,100
