time,open,high,low,close
2007-04-30 09:00:00,149.41,149.41,149.41,149.41
2007-04-30 09:30:00,149.41,149.54,149.19,149.34
2007-04-30 10:00:00,149.39,149.6,149.22,149.52
2007-04-30 10:30:00,149.52,149.72,149.48,149.7
2007-04-30 11:00:00,149.69,149.69,149.57,149.6
2007-04-30 11:30:00,149.61,149.62,149.36,149.4
2007-04-30 12:00:00,149.4,149.53,149.37,149.53
2007-04-30 12:30:00,149.56,149.66,149.53,149.53
2007-04-30 13:00:00,149.5,149.68,149.5,149.55
2007-04-30 13:30:00,149.54,149.62,149.45,149.51
2007-04-30 14:00:00,149.52,149.57,149.28,149.31
2007-04-30 14:30:00,149.31,149.35,148.93,148.97
2007-04-30 15:00:00,149.02,149.06,148.75,148.79
2007-04-30 15:30:00,148.79,148.81,148.23,148.23
2007-04-30 16:00:00,148.23,148.24,148.23,148.24
2007-05-01 09:00:00,148.24,148.24,148.24,148.24
2007-05-01 09:30:00,148.3,148.61,148.23,148.25
2007-05-01 10:00:00,148.43,148.5,147.67,147.81
2007-05-01 10:30:00,147.79,148.2,147.74,148.19
2007-05-01 11:00:00,148.21,148.27,148.04,148.19
2007-05-01 11:30:00,148.18,148.4,148.06,148.06
2007-05-01 12:00:00,148.06,148.22,148.04,148.07
2007-05-01 12:30:00,148.07,148.21,148.03,148.04
2007-05-01 13:00:00,148.04,148.04,147.78,147.97
2007-05-01 13:30:00,147.96,148.34,147.95,148.27
2007-05-01 14:00:00,148.28,148.47,148.18,148.42
2007-05-01 14:30:00,148.41,148.73,148.4,148.62
2007-05-01 15:00:00,148.61,148.68,148.43,148.43
2007-05-01 15:30:00,148.41,148.65,148.4,148.61
2007-05-01 16:00:00,148.61,148.63,148.61,148.63
2007-05-02 09:00:00,148.61,148.61,148.61,148.61
2007-05-02 09:30:00,148.65,149.19,148.65,149.15
2007-05-02 10:00:00,149.18,149.45,149.18,149.38
2007-05-02 10:30:00,149.38,149.76,149.36,149.69
2007-05-02 11:00:00,149.69,149.7,149.57,149.6
2007-05-02 11:30:00,149.59,149.61,149.51,149.56
2007-05-02 12:00:00,149.57,149.71,149.52,149.7
2007-05-02 12:30:00,149.7,149.73,149.57,149.63
2007-05-02 13:00:00,149.65,149.84,149.65,149.77
2007-05-02 13:30:00,149.75,149.84,149.73,149.79
2007-05-02 14:00:00,149.78,149.91,149.71,149.9
2007-05-02 14:30:00,149.9,149.9,149.76,149.78
2007-05-02 15:00:00,149.77,149.78,149.56,149.67
2007-05-02 15:30:00,149.69,149.7,149.47,149.58
2007-05-02 16:00:00,149.6,149.6,149.59,149.59
2007-05-03 09:00:00,149.56,149.56,149.56,149.56
2007-05-03 09:30:00,149.6,149.92,149.6,149.87
2007-05-03 10:00:00,149.93,150.05,149.7,149.92
2007-05-03 10:30:00,149.88,150.29,149.82,150.26
2007-05-03 11:00:00,150.27,150.29,150.1,150.21
2007-05-03 11:30:00,150.21,150.22,150.05,150.2
2007-05-03 12:00:00,150.19,150.25,149.89,149.89
2007-05-03 12:30:00,149.88,150.11,149.88,150.07
2007-05-03 13:00:00,150.07,150.14,149.92,149.98
2007-05-03 13:30:00,149.99,150.19,149.95,150.12
2007-05-03 14:00:00,150.12,150.23,150.08,150.17
2007-05-03 14:30:00,150.22,150.27,150.06,150.27
2007-05-03 15:00:00,150.29,150.33,150.22,150.29
2007-05-03 15:30:00,150.29,150.32,150.11,150.21
2007-05-03 16:00:00,150.23,150.24,150.23,150.24
2007-05-04 09:00:00,150.23,150.23,150.23,150.23
2007-05-04 09:30:00,150.35,150.74,150.35,150.73
2007-05-04 10:00:00,150.72,151.03,150.66,150.97
2007-05-04 10:30:00,150.96,150.98,150.75,150.95
2007-05-04 11:00:00,150.94,150.97,150.68,150.74
2007-05-04 11:30:00,150.74,150.8,150.69,150.69
2007-05-04 12:00:00,150.68,150.7,150.22,150.34
2007-05-04 12:30:00,150.32,150.5,150.18,150.5
2007-05-04 13:00:00,150.5,150.58,150.38,150.52
2007-05-04 13:30:00,150.52,150.64,150.32,150.38
